[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:32] Unknown (Items.TygerClawsKERSFragment1) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:32] CataResist (Items.ResistancesBoosterCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.mq055_kerry_note) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_wat_nid_19_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_wbr_jpn_105_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_wat_lch_12_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.mws_se5_06_gacut_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.w_rifle_sniper__tsunami_ashura__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:32] LED Bracelets (Items.MediumQualityJewellery3) | Unknown | Unknown | Junk, Jewellery, NoVisuals
[2025-07-18 20:50:32] Unknown (Items.ma_x_temp_shard) | Unknown | Shard | Readable
[2025-07-18 20:50:32] Kanetsugu (Items.w_att_scope_short_07_legendary) | Unknown | Unknown | itemPart, WeaponMod, ShortScope, CourierReward, LegendaryAttachment
[2025-07-18 20:50:32] Unknown (Items.crowd_tool_d_screwdriver) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Synapse Burnout (Items.BrainMeltLvl4Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier2Shard, HideProgramDuration, Tier3Shard, Tier4Shard
[2025-07-18 20:50:32] Unknown (Items.generic_bhikku_interview) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.NueBreeWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:32] Corporate Recreation Services (CRS) (Items.q306_terminal_c_crs) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Basic Kiroshi Optics (Items.AdvancedKiroshiOpticsBareCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.sa_ep1_courier_loop_144_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Shard (Items.ma_wbr_jpn_17_shard_A) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Unknown (Items.kitchen_utensil_c) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Unknown (Items.crowd_burger_half_large) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Money Shard (Items.CyberwareUpgradeShardUncommon) | Uncommon | Unknown | MoneyShard, HideInUI, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.w_rifle_sniper__tsunami_rasetsu__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Unknown (Items.bottle_i_beer_small) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Self-ICE (Items.AdvancedSelfIceEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Plastic Beads (Items.LowQualityJewellery3) | Unknown | Unknown | Junk, Jewellery, NoVisuals
[2025-07-18 20:50:32] Unknown (Items.ma_cct_dtn_102_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Reflex Tuner (Items.AdvancedReflexRecorderEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Biotech Σ Mk.2 (Items.BiotechRareMKII) | Rare | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Archived Conversation: Brendan Rock and Andreas Chinnook (Items.q306_blackops_camo) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.w_piercing_core) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se1_16_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Tier 3 Quickhack Components (Items.QuickHackRareMaterial1) | Rare | Crafting Material | CraftingPart, HideInBackpackUI, QuickhackCraftingMaterials, HideInBackpackUI
[2025-07-18 20:50:32] Grassroots initiative (Items.q302_basketball_community) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.SimpleWeaponMod02) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_pac_cvi_13_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se1_43_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.w_rifle_precision__rostovic_kolac__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Unknown (Items.ma_wat_nid_03_go_clean_after_elly) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.MaikoNueWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:32] Militech Paraline (Items.BaseDeck) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.ma_wbr_nok_101_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] BD: Wet Dream (Items.q105_braindance_wet_dream) | Unknown | Miscellaneous
[2025-07-18 20:50:32] Me-thrill (Items.FaceFabricEnhancer) | Unknown | Unknown | itemPart, FabricEnhancer
[2025-07-18 20:50:32] Clutch Padding (Items.AdvancedShockAbsorberRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.ma_std_arr_05_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Me-thrill (Items.OuterChestFabricEnhancer) | Unknown | Unknown | itemPart, FabricEnhancer
[2025-07-18 20:50:32] BD: Midnight Visitor (Items.q105_braindance_midnight_visitor) | Unknown | Miscellaneous
[2025-07-18 20:50:32] Visual Cortex Support (Items.AdvancedVisualCortexSupportUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Vivisector (Items.ShotgunMod1_Common) | Common | Unknown | itemPart, WeaponMod, RangedMod, Common
[2025-07-18 20:50:32] Unknown (Items.tablet_b_kitsch) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Tetratronic Rippler Mk.4 (Items.AdvancedTetratronicRipplerMKIVEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.w_handgun__tsunami_kappa__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:32] Rara Avis (Items.IconicAdvancedT1000Common2) | Common | Cyberware | Cyberware, HideInBackpackUI, IllegalItem, SkipActivityLog
[2025-07-18 20:50:32] Unknown (Items.generic_q113_estate_burglar) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Scarab (Items.AdvancedRapidMuscleNurishLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.loc_ma_hey_rey_108_onscreen_sergei_dead) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.Precision_Sniper_Rifle_Mod) | Unknown | Sniper Mod | itemPart, WeaponMod, RangedMod
[2025-07-18 20:50:32] Unknown (Items.locomotion_crowd_soda_can_b) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Unknown (Items.crowd_soda_can_c) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Unknown (Items.AdvancedShockAbsorberStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:32] Kiroshi \"Sentry\" Optics (Items.AdvancedKiroshiOpticsSensorCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Syn-kiwi and Pineapple Pizza (Items.crowd_pizza_box_stack) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Spring Joints (Items.AdvancedAgileJointsCommon2) | Common | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:32] Unknown (Items.w_handgun__krausser_grit__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] C-Thru (Items.TechMod2_Epic) | Epic | Unknown | itemPart, WeaponMod, RangedMod, Tech, Epic
[2025-07-18 20:50:32] Unknown (Items.w_revolver__techtronika_burya__mag_stdr) | Unknown | Magazine | itemPart
[2025-07-18 20:50:32] Flathead Control Shard (Items.q003_e3_Spiderbot_Splinter) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Kiroshi \"Doomsayer\" Optics (Items.AdvancedKiroshiOpticsHunterUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Fuyutsuki Electronics Mk.1 (Items.FuyutsuiCommonMKI) | Common | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.makeup_a_eyeliner) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Unknown (Items.w_handgun__arasaka_kenshin__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Unknown (Items.w_tomahawk_common_grip) | Unknown | Miscellaneous | parentPart
[2025-07-18 20:50:32] Biotech Σ Mk.4 (Items.AdvancedBiotechSigmaMKIVLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.crowd_syringe) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Smart Link (Items.AdvancedSmartLink_Tutorial_RarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:32] Me-thrill (Items.DummyPantsFabricEnhancer) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:32] Me-thrill (Items.SimpleFabricEnhancer07) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:32] Cryptic notes (Items.q305_janitor_note) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Para Bellum (Items.AdvancedT1000RarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Synaptic Accelerator (Items.SynapticAcceleratorEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Zetatech Sandevistan (Items.AdvancedSandevistanC1MK4Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:32] Unknown (Items.wst_ep1_ctz_101_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.sq024_magazine_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.PlayerMaTppHead) | Unknown | Miscellaneous | Quest, TppHead
[2025-07-18 20:50:32] BioDyne Berserk (Items.AdvancedBerserkC2MK4) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se1_31_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Ready Steady (Items.ARSMGLMGMod2_Uncommon) | Uncommon | Unknown | itemPart, WeaponMod, RangedMod, Uncommon
[2025-07-18 20:50:32] BD: Foreign Body (Items.q105_braindance_foreign_body) | Unknown | Miscellaneous
[2025-07-18 20:50:32] Bootleg Shard (Items.sts_wbr_hil_06_bootleg) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Unknown (Items.q115_soul_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Atomic Sensors (Items.AdvancedTroubleFinderLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.ma_pac_wwd_02_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_hey_rey_05_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.int_toys_002__broken_arm) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, WorkspotSyncAnimated
[2025-07-18 20:50:32] Bionic Joints (Items.AdvancedBionicJointsLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] !OBSOLETE (Items.mq304_kurt_death_celeb_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Database: Cynosure Site D (Items.mq305_ep1_encrypted_data_bank) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Revulsor (Items.IconicAdvancedReflexRecorderRare) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:32] Unknown (Items.Fragment) | Unknown | Fragment | itemPart, Fragment
[2025-07-18 20:50:32] Unknown (Items.mixed_fast_food_fry) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Peripheral Inverse (Items.IconicAdvancedProximityReducerEpicPlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:32] Unknown (Items.generic_2020_corebook_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Big Mag (Items.ARSMGLMGMod1_Epic) | Epic | Unknown | itemPart, WeaponMod, RangedMod, Epic
[2025-07-18 20:50:32] Blood Pump (Items.BloodPumpCommon) | Common | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.ma_std_arr_09_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Samurai – Blistering Love (Items.q204_vinyl_samurai_blistering_love) | Unknown | Junk | Junk
[2025-07-18 20:50:32] QianT \"Warp Dancer\" Sandevistan (Items.AdvancedSandevistanC3MK4) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:32] Wallpuncher (Items.ChimeraTechMod) | Unknown | Unknown | itemPart, WeaponMod, RangedMod, Tech, ChimeraMod, Legendary, Retrievable
[2025-07-18 20:50:32] Defenzikov (Items.AdvancedPlatingGlitchEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.w_handgun__krausser_grit__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:32] Unknown (Items.sts_wbr_jpn_07_dirk_data_shard) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Noise Contagion (Items.q204_electric_guitar_noise_contagion) | Unknown | Junk | Junk
[2025-07-18 20:50:32] Dynalar Sandevistan (Items.AdvancedSandevistanC2MK2Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:32] Militech Paraline (Items.MilitechParaline) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.generic_secure_your_soul) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Jenkins' Tendons (Items.AdvancedJenkinsTendonsCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.w_cutting_core) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Unknown (Items.generic_lunar_orbital_bases_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Bioplastic Blood Vessels (Items.EnhancedBloodVesselsLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Feen-X (Items.AdvancedNeuroMatrixRare2) | Rare | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:32] Heal-On-Kill (Items.AdvancedHealOnKillUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.sts_wat_kab_04_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Me-thrill (Items.SimpleFabricEnhancer13) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:32] Archived Conversation: Niko and Kira (Items.mq301_conversation_scavs_body_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.QuestItemPlaceholder) | Unknown | Miscellaneous
[2025-07-18 20:50:32] Chopsticks (Items.TygerClawsJunkItem2) | Unknown | Junk | Junk, FactionItem, TygerClaws, NoVisuals
[2025-07-18 20:50:32] Unknown (Items.mws_jim_shard_splash) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.generic_selling_processor) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Site Map (Items.Q305_bunker_map_inner) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] NetWatch Netdriver Mk.5 (Items.NetwatchNetdriverLegendaryMKV) | Legendary | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.generic_animals_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.q004_daruma_doll) | Unknown | Miscellaneous
[2025-07-18 20:50:32] Tattoo: Tyger Claws Dermal Imprint (Items.AdvancedYakuzaTattooLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.ma_wbr_nok_104_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.SidewinderDividedWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:32] Ballistic Coprocessor (Items.AdvancedPowerGrip_q001_2) | Unknown | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:32] Shard (Items.ma_wbr_jpn_13_shard) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Fuyutsuki Tinkerer Mk.3 (Items.TetratronicLegendaryTest) | Legendary | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.TygerRangedWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor, FactionItem
[2025-07-18 20:50:32] Biotech Σ Mk.3 (Items.BiotechEpicMKIII) | Epic | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Unknown (Items.wst_ep1_hlp_103_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.tablet_d_neo_kistch) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Kiroshi \"Stalker\" Optics (Items.AdvancedKiroshiOpticsPiercingCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Epimorphic Skeleton (Items.AdvancedEndoskeletonEpic2) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:32] Metamorphoses (Items.q204_metamorphosis) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Fortified Ankles (Items.ReinforcedMusclesRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Neoplastic Plating (Items.NeoplasticPlating) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se5_09_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] The Book of Spells (Items.mq015_wizardbook_decrypted) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Unknown (Items.Unit_Test02) | Unknown | Miscellaneous | Weapon, Rifle
[2025-07-18 20:50:32] Firecracker (Items.ChimeraPowerMod) | Unknown | Unknown | itemPart, WeaponMod, RangedMod, Power, ChimeraMod, Legendary, Retrievable
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se1_03_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Databank (Items.q003_chip) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:32] Stress Ball (Items.GenericCorporationJunkItem1) | Unknown | Junk | Junk
[2025-07-18 20:50:32] Unknown (Items.sts_bls_ina_03_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.w_handgun__kang_tao_chao__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:32] Optical Camo (Items.AdvancedOpticalCamoEpicPlus) | Epic | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Parallax (Items.HGMod3_Base) | Unknown | Unknown | itemPart, WeaponMod, RangedMod
[2025-07-18 20:50:32] Unknown (Items.w_handgun__arasaka_yukimura__mag_stdr) | Unknown | Magazine | itemPart
[2025-07-18 20:50:32] Carapace (Items.AdvancedWeirdTankyPlatingUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.SimpleWeaponMod12) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.AdvancedMaxTacMantisBladesStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:32] Rara Avis (Items.IconicAdvancedT1000Uncommon2) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, IllegalItem, SkipActivityLog
[2025-07-18 20:50:32] Unknown (Items.crowd_pizza_slice) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Tetratronic Rippler Mk.3 (Items.Weak_30_Cyberdeck) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:32] Sensory Amplifier (Items.ArmsCyberwareSharedFragment1) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.mq018_propaganda_shard) | Unknown | Shard | Readable
[2025-07-18 20:50:32] Unknown (Items.q114__book_open) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:32] Smart Link (Items.AdvancedSmartLink_Tutorial_UncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:32] ProxiShield (Items.AdvancedProximityReducerCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Visual Cortex Support (Items.AdvancedVisualCortexSupportLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.wst_ep1_hgp_101_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.generic_nomad_cookbook) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.int_apparel_002__umbrella_small) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, ItemDecoration_Rain
[2025-07-18 20:50:32] Unknown (Items.generic_q110_mall_sentry) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.ma_bls_ina_se1_34_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Notes (Items.sq026_judys_bot_notes) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:32] Unknown (Items.w_revolver__malorian_overture__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:32] Scar Coalescer (Items.AdvancedNoPainNoGain_Legendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:32] Unknown (Items.SmartWeaponMod03) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
